Filename,Checkout_No,Type ,Sensor_Make,Sensor_Model,Sensor_SN,Limits,Dimensions,Site,,
005-02-23-06,111,Barometer,Vaisala,PTB100A,WEF121905,600 - 1060,hPa,N,,
005-02-23-06,111,Anemometer,Gill,Wind Observer II,2082,N/A,N/A,N,,
005-02-23-06,111,Compass,KVH Industries,C100LP,5070436,N/A,N/A,N,,
005-03-02-07,112,Current Sensor,Aanderaa, DCS 4100R,68,0-300,cm/s,missing,,
005-03-02-07,112,Air Temperature,R.M. Young,41342VC,8110,°¿ 50,deg. C,missing,,
005-03-02-07,112,Barometer,Vaisala,PTB100A,A5110002,600 - 1060,hPa,missing,,
005-03-02-07,112,Anemometer,Gill,Wind Observer II,983,N/A,N/A,missing,,
005-03-02-07,112,Compass,KVH Industries,C100LP,5070436,N/A,N/A,missing,,
005-03-03-03,110,Current Sensor,Aanderaa, DCS 3900R,109,0 - 300,cm/sec,missing,,
005-03-03-03,110,Barometer,Vaisala,PTB100A,Y3230006,600 - 1060,hPa,missing,,
005-03-03-03,110,Air Temperature,R.M. Young,41342VC,7881,N/A,N/A,missing,,
005-03-03-03,110,Anemometer,Gill,Wind Observer II,984,N/A,N/A,missing,,
005-08-14-02,109,Current Sensor,Aanderaa,DCS 3900R,109,0 - 300,cm/sec,N,,
005-08-14-02,109,Anemometer,missing,missing,missing,missing,missing,N,,
005-08-14-02,109,Barometer,missing,missing,missing,missing,missing,N,,
005-08-14-02,109,Compass,missing,missing,missing,missing,missing,N,,
005-08-14-02,109,Temperature,missing,missing,missing,missing,missing,N,,
005-08-14-02,109,Temperature/Conductivity,missing,missing,missing,missing,missing,N,,
005-09-09-08,113,Current Sensor,Aanderaa, DCS 4100R,68,0-300,cm/s,V,,
005-09-09-08,113,Air Temperature,R.M. Young,41342VC,8110,°¿50,deg. C,V,,
005-09-09-08,113,Barometer,Vaisala,PTB100A,A5110002,600 - 1060,hPa,V,,
005-09-09-08,113,Anemometer,Gill,Wind Observer II,983,N/A,N/A,V,,
005-09-09-08,113,Compass,KVH Industries,C100LP,5070436,N/A,N/A,V,,
006-06-26-02,114,Current Sensor,Aanderaa,DCS 3900R,109,0 - 300,cm/sec,N,,
006-06-26-02,114,Air Temperature,R.M. Young,41342VC,5426,°¿50,deg. C,N,,
006-06-26-02,114,Barometer,Vaisala,PTB100A,V1230007,600 - 1060,hPa,N,,
006-06-26-02,114,Anemometer,Gill,Wind Observer II,N/A,N/A,N/A,N,,
006-06-26-02,114,Compass,KVH Industries,C100LP,98020033,N/A,N/A,N,,
006-08-18-03,115,Current Sensor,Aanderaa,DCS 3900R,42,0 - 300,cm/sec,missing,,
006-08-18-03,115,Compass,KVH Industries,C100LP,98020033,0 - 360 ,deg. Mag.,missing,,
006-08-18-03,115,Barometer,Vaisala,PTB100A,V1230007,600 - 1060,hPa,missing,,
