Deployment date,,,,,Sensor,,,Deployment date,Deployment time,Recovery date,Recovery time,,,inclination,Comments,lat,lon,inclination,,Comments,,,,,,
5/14/1998,,,D,,B-1223,,,5/14/1998,0:00:00,8/12/1998,11:30:00,,,5.58,Data_suspect_after_7/1/1996?,27.93295,96.8076,5.58,,Data_suspect_after_7/1/1996?,,,,,,73
5/15/1998,,,K,,B-1492,,,5/15/1998,2:00:00,8/11/1998,0:00:00,,,5.47,Damaged_by_collision._Data_ceases_on_7/1/1998,26.21667,96.49917,5.47,,Damaged_by_collision._Data_ceases_on_7/1/1998,,,,,,167
5/23/1998,,,G,,B-1293,,,5/23/1998,13:00:00,6/15/1998,13:00:00,,,3.65,Flooded_sensor.,29.56642,93.46827,3.65,,Flooded_sensor.,,,,,,137
5/24/1998,07-1998-05-24,278,N,System 7,ADCP-003,ZyXell,R/V Gyre,5/24/1998,,10/28/1998,,R/V Gyre,157,,,,,,,,,,,,,
6/15/1998,,,B,,B-1393,,,6/15/1998,0:00:00,7/2/1998,0:30:00,,,4.53,-,28.98283,94.9162,4.53,,-,,,,,,20
7/7/1998,,,B,,B-1396,,,7/7/1998,12:30:00,9/22/1998,18:00:00,,,4.53,Flooded_cell_link,28.98283,94.9162,4.53,,Flooded_cell_link,,,,,,21
7/9/1998,50040-1998-07-09,179,B,50040,B-1396,Microcom,Texas Responder,7/9/1998,,9/22/1998,,Texas Responder,75,,,,,,,,,,,,,
7/21/1998,05-1998-07-21,287,P,System 5,B-1508,Sat,R/V Gyre,7/21/1998,,11/24/1998,,R/V Gyre,126,,,,,,,,,,,,,
7/21/1998,,,R,,B-1286,,,7/21/1998,11:00:00,9/25/1998,0:00:00,,,3.75,Recovered_on_Matagorda_Island,29.64728,93.63947,3.75,,Recovered_on_Matagorda_Island,,,,,,205
7/22/1998,,,P,,B-1508,,,7/22/1998,0:00:00,11/25/1998,15:00:00,,,3.22,#NAME?,29.1662,92.73652,3.22,,#NAME?,,,,,,202
8/12/1998,,,D,,B-1523,,,8/12/1998,19:30:00,10/13/1998,12:30:00,,,5.58,All_data_bad._Faulty_connector_to_MMI,27.93295,96.8076,5.58,,All_data_bad._Faulty_connector_to_MMI,,,,,,74
9/22/1998,80086-1998-09-22,187,B,80086,B-1529,Microcom,Texas Responder,9/22/1998,,10/29/1998,,R/V Gyre,37,,,,,,,,,,,,,
9/23/1998,,,B,,B-1529,,,9/23/1998,11:30:00,10/29/1998,13:30:00,,,4.53,-,28.98283,94.9162,4.53,,-,,,,,,22
10/14/1998,,,D,,B-1223,,,10/14/1998,17:00:00,2/18/1999,1:00:00,,,5.58,Bad_data_after_12/9/1998,27.93295,96.8076,5.58,,Bad_data_after_12/9/1998,,,,,,75
10/14/1998,02-1998-10-14,259,J,System 2,B-1533,Sat,Lone Star Responder,10/14/1998,,2/18/1999,,R/V Glorita,127,,,,,,,,,,,,,
10/14/1998,03-1998-10-14,269,K,System 3,B-1492,Sat,Lone Star Responder,10/14/1998,,2/18/1999,,R/V Glorita,127,,,,,,,,,,,,,
10/15/1998,,,J,,B-1533,,,10/15/1998,0:00:00,2/17/1999,23:30:00,,,5.73,-,26.18833,97.05067,5.73,,-,,,,,,143
10/15/1998,,,K,,B-1492,,,10/15/1998,2:30:00,2/18/1999,18:00:00,,,5.47,Damaged_by_collision,26.21667,96.49917,5.47,,Damaged_by_collision,,,,,,168
10/28/1998,,,F,,B-1396,,,10/28/1998,12:30:00,4/26/1999,0:00:00,,,4.15,-,28.836,94.2355,4.15,,-,,,,,,109
10/29/1998,80086-1998-10-29,186,B,80086,B-1529,Microcom,R/V Gyre,10/29/1998,,2/17/1999,,R/V Glorita,111,,,,,,,,,,,,,
10/30/1998,,,B,,B-1529,,,10/30/1998,16:30:00,2/14/1999,6:30:00,,,4.53,Serviced_and_redeployed,28.98283,94.9162,4.53,,Serviced_and_redeployed,,,,,,23
2/15/1999,,,B,,B-1523,,,2/15/1999,1:30:00,2/17/1999,3:30:00,,,4.43,System_3_TABS_II_buoy,28.98283,94.9162,4.43,,System_3_TABS_II_buoy,,,,,,24
2/17/1999,50039-1999-02-17,185,B,50039,B-1523,Motorola,R/V Glorita,2/17/1999,,2/19/1999,,R/V Glorita,2,,,,,,,,,,,,,
2/18/1999,,,D,,B-1531,,,2/18/1999,1:00:00,6/7/1999,19:30:00,,,5.5,-,27.93295,96.8076,5.5,,-,,,,,,76
2/18/1999,,,K,,B-1509,,,2/18/1999,18:00:00,8/22/1999,6:00:00,,,5.38,Lost_during_Hurricane_Brett._Data_ceases_on_8/22/1,26.21667,96.49917,5.38,,Lost_during_Hurricane_Brett._Data_ceases_on_8/22/1,,,,,,169
2/18/1999,,,J,,B-1536,,,2/18/1999,23:00:00,2/7/2000,15:00:00,,,5.65,Failed_postcruise_calibration_test._Data_ceases_af,26.18833,97.05067,5.65,,Failed_postcruise_calibration_test._Data_ceases_af,,,,,,144
2/19/1999,03-1999-02-19,183,B,System 3,B-1492,Sat,R/V Glorita,2/19/1999,,2/28/1999,,R/V Gyre,9,,,,,,,,,,,,,
2/19/1999,40018-1999-02-19,221,D,40018,B-1531,Motorola,R/V Glorita,2/19/1999,,6/7/1999,,R/V Longhorn,108,,,,,,,,,,,,,
2/19/1999,,,S,,B-1523,,,2/19/1999,14:00:00,3/23/1999,0:00:00,,,3.22,Recovered_on_Matagorda_Island.,28.43642,92.81115,3.22,,Recovered_on_Matagorda_Island.,,,,,,234
2/22/1999,,,B,,B-1492,,,2/22/1999,5:30:00,2/28/1999,14:00:00,,,4.43,-,28.98283,94.9162,4.43,,-,,,,,,25
2/28/1999,40015-01-13-99,1,R,40015,B-1539,Motorola,R/V Gyre,2/28/1999,,8/15/1999,,R/V Gyre,168,,,,,,,,,,,,,
3/1/1999,,,R,,B-1359,,,3/1/1999,2:30:00,8/15/1999,0:00:00,,,3.65,-,29.64728,93.63947,3.65,,-,,,,,,206
3/1/1999,,,P,,B-1509,,,3/1/1999,8:30:00,8/15/1999,0:00:00,,,3.12,Failed_postcruise_calibration_test.,29.1662,92.73652,3.12,,Failed_postcruise_calibration_test.,,,,,,203
3/1/1999,,,N,,ADCP003,,,3/1/1999,19:00:00,12/1/1999,2:00:00,,,3.98,Data_ceases_after_9/12/1999,27.8892,94.03667,3.98,,Data_ceases_after_9/12/1999,,,,,,184
3/2/1999,,,M,,B-1508,,,3/2/1999,0:00:00,12/1/1999,1:30:00,,,4.05,-,28.19205,94.19138,4.05,,-,,,,,,183
3/2/1999,,,B,,Unknown,,,3/2/1999,7:30:00,4/26/1999,0:00:00,,,4.43,-,28.98283,94.9162,4.43,,-,,,,,,26
3/23/1999,,,S,,Unknown,,,3/23/1999,0:00:00,4/26/1999,0:00:00,,,3.22,-,28.43642,92.81115,3.22,,-,,,,,,235
