Deployment_Date,File_Number,checkout,Site,Seapac_SN, Current_Sensor_SN,Modem_Type,Deployment_Ship,Deployment_Date,,Recovery_Date,,Recovery_Ship,Deployed_Days,,,,,,,,,,,,,
10/15/1998,,,K,,B-1492,,,10/15/1998,2:30:00,2/18/1999,18:00:00,,,5.47,Damaged_by_collision,26.21667,96.49917,5.47,,Damaged_by_collision,,,,,,168
10/28/1998,50040-1998-10-28,233,F,50040,B-1396,Microcom,R/V Gyre,10/28/1998,,4/26/1999,,R/V Gyre,180,,,,,,,,,,,,,
10/29/1998,80086-1998-10-29,186,B,80086,B-1529,Microcom,R/V Gyre,10/29/1998,,2/17/1999,,R/V Glorita,111,,,,,,,,,,,,,
10/30/1998,,,B,,B-1529,,,10/30/1998,16:30:00,2/14/1999,6:30:00,,,4.53,Serviced_and_redeployed,28.98283,94.9162,4.53,,Serviced_and_redeployed,,,,,,23
2/15/1999,,,B,,B-1523,,,2/15/1999,1:30:00,2/17/1999,3:30:00,,,4.43,System_3_TABS_II_buoy,28.98283,94.9162,4.43,,System_3_TABS_II_buoy,,,,,,24
2/17/1999,50039-1999-02-17,185,B,50039,B-1523,Motorola,R/V Glorita,2/17/1999,,2/19/1999,,R/V Glorita,2,,,,,,,,,,,,,
2/18/1999,,,D,,B-1531,,,2/18/1999,1:00:00,6/7/1999,19:30:00,,,5.5,-,27.93295,96.8076,5.5,,-,,,,,,76
2/18/1999,06-1999-02-18,261,J,System 6,B-1536,Sat,R/V Glorita,2/18/1999,,2/7/2000,,R/V Longhorn,354,,,,,,,,,,,,,
2/18/1999,01-1999-02-18,271,K,System 1,B-1509,Sat,R/V Glorita,2/18/1999,,8/16/2000,,R/V Longhorn,545,,,,,,,,,,,,,
2/19/1999,03-1999-02-19,183,B,System 3,B-1492,Sat,R/V Glorita,2/19/1999,,2/28/1999,,R/V Gyre,9,,,,,,,,,,,,,
2/19/1999,40018-1999-02-19,221,D,40018,B-1531,Motorola,R/V Glorita,2/19/1999,,6/7/1999,,R/V Longhorn,108,,,,,,,,,,,,,
2/19/1999,50039-1999-02-19,302,S,50039,B-1523,Motorola,R/V Glorita,2/19/1999,,3/23/1999,,Truck,32,,,,,,,,,,,,,
2/22/1999,,,B,,B-1492,,,2/22/1999,5:30:00,2/28/1999,14:00:00,,,4.43,-,28.98283,94.9162,4.43,,-,,,,,,25
2/28/1999,40015-01-13-99,1,R,40015,B-1539,Motorola,R/V Gyre,2/28/1999,,8/15/1999,,R/V Gyre,168,,,,,,,,,,,,,
3/1/1999,05-1999-03-01,276,M,System 5,B-1508,Sat,R/V Gyre,3/1/1999,,12/1/1999,,R/V Gyre,275,,,,,,,,,,,,,
3/1/1999,40016-1999-03-01,286,P,40016,B-1286,Motorola,R/V Gyre,3/1/1999,,8/15/1999,,R/V Gyre,167,,,,,,,,,,,,,
3/1/1999,07-1999-03-01,277,N,System 7,ADCP-003,Sat,R/V Gyre,3/1/1999,,12/1/1999,,R/V Gyre,275,,,,,,,,,,,,,
3/2/1999,,,M,,B-1508,,,3/2/1999,0:00:00,12/1/1999,1:30:00,,,4.05,-,28.19205,94.19138,4.05,,-,,,,,,183
3/2/1999,,,B,,Unknown,,,3/2/1999,7:30:00,4/26/1999,0:00:00,,,4.43,-,28.98283,94.9162,4.43,,-,,,,,,26
3/23/1999,,,S,,Unknown,,,3/23/1999,0:00:00,4/26/1999,0:00:00,,,3.22,-,28.43642,92.81115,3.22,,-,,,,,,235
4/25/1999,02-1999-04-25,182,B,System 2,B-1433,Sat,R/V Gyre,4/25/1999,,8/14/1999,,R/V Gyre,111,,,,,,,,,,,,,
4/26/1999,,,B,,B-1433,,,4/26/1999,0:00:00,8/15/1999,21:00:00,,,4.43,-,28.98283,94.9162,4.43,,-,,,,,,27
4/26/1999,80086-1999-11-12,235,F,80086,B-1529,Motorola,R/V Gyre,4/26/1999,,8/14/1999,,R/V Gyre,110,,,,,,,,,,,,,
4/26/1999,50039-1999-04-26,301,S,50039,B-1523,Motorola,R/V Gyre,4/26/1999,,6/7/1999,,R/V Longhorn,42,,,,,,,,,,,,,
6/7/1999,40018-1999-06-07,306,S,40018,B-1531,Motorola,R/V Longhorn,6/7/1999,,12/14/1999,,R/V Longhorn,190,,,,,,,,,,,,,
6/8/1999,,,S,,B-1531,,,6/8/1999,4:00:00,12/14/1999,20:00:00,,,3.22,Recovered_on_the_beach_south_of_Corpus_Christi.,28.43642,92.81115,3.22,,Recovered_on_the_beach_south_of_Corpus_Christi.,,,,,,237
8/14/1999,03-1999-08-14,189,B,System 3,B-1558,Sat,R/V Gyre,8/14/1999,,2/20/2000,,R/V Gyre,190,,,,,,,,,,,,,
8/14/1999,50040-1999-08-14,238,F,50040,B-1560,Motorola,R/V Gyre,8/14/1999,,12/1/1999,,R/V Gyre, ,,,,,,,,,,,,,
8/15/1999,40014-1999-08-15,288,P,40014,B-1557,Motorola,R/V Gyre,8/15/1999,,2/19/2000,,R/V Gyre,188,,,,,,,,,,,,,
8/15/1999,50039-1999-08-15,291,R,50039,B-1559,Motorola,R/V Gyre,8/15/1999,,2/19/2000,,R/V Gyre,188,,,,,,,,,,,,,
8/16/1999,,,F,,B-1560,,,8/16/1999,4:00:00,12/1/1999,0:00:00,,,4.05,No_data_in_the_record,28.836,94.2355,4.05,,No_data_in_the_record,,,,,,111
8/16/1999,,,B,,B-1558,,,8/16/1999,4:30:00,2/20/2000,0:00:00,,,4.43,-,28.98283,94.9162,4.43,,-,,,,,,28
9/29/1999,40016-1999-09-29,223,D,40016,B-1561,Motorola,R/V Longhorn,9/29/1999,,2/6/2000,,R/V Longhorn,130,,,,,,,,,,,,,
10/1/1999,,,D,,B-1561,,,10/1/1999,16:00:00,2/7/2000,0:00:00,,,5.5,Data_stops_on_01/01/2000,27.93295,96.8076,5.5,,Data_stops_on_01/01/2000,,,,,,77
12/1/1999,40015-1999-12-01,236,F,40015,B-1539,Motorola,R/V Gyre,12/1/1999,,2/18/2000,,R/V Gyre,79,,,,,,,,,,,,,
12/14/1999,80086-1999-12-14,304,S,80086,B-1529,Motorola,R/V Longhorn,12/14/1999,,6/2/2000,,R/V Longhorn,171,,,,,,,,,,,,,
12/15/1999,04-1999-12-15,202,B2,System 4,DCS3500,Sat,R/V Longhorn,12/15/1999,,1/13/2000,,R/V Gyre,29,,,,,,,,,,,,,
2/6/2000,40018-2000-02-06,220,D,40018,B-1531,Motorola,R/V Longhorn,2/6/2000,,7/14/2000,,R/V Longhorn,159,,,,,,,,,,,,,
2/7/2000,,,D,,B-1531,,,2/7/2000,0:00:00,7/14/2000,1:30:00,,,5.42,-,27.93295,96.8076,5.42,,-,,,,,,78
2/7/2000,02-2000-02-07,258,J,System 2,B-1433,Sat,R/V Longhorn,2/7/2000,,4/7/2000,,R/V Longhorn,60,,,,,,,,,,,,,
2/18/2000,,,F,,Unknown,,,2/18/2000,0:00:00,9/28/2000,7:00:00,,,3.95,-.,28.836,94.2355,3.95,,-.,,,,,,113
2/19/2000,50040-2000-02-19,292,R,50040,B-1560,Motorola,R/V Gyre,2/19/2000,,10/8/2002,,Truck,962,,,,,,,,,,,,,
2/20/2000,05-1999-02-20,184,B,System 5,B-1508,Sat,R/V Gyre,2/20/2000,,7/2/2000,,R/V Gyre,133,,,,,,,,,,,,,
4/17/2000,,,J,,Unknown,,,4/17/2000,0:00:00,9/25/2000,6:00:00,,,5.57,Recovered_drifting.,26.18833,97.05067,5.57,,Recovered_drifting.,,,,,,146
6/1/2000,40016-2000-06-01,294,R,40016,B-1561,Motorola,R/V Longhorn,6/1/2000,,9/7/2000,,R/V Longhorn,98,,,,,,,,,,,,,
6/2/2000,,,R,,B-1561,,,6/2/2000,11:30:00,9/8/2000,13:30:00,,,3.53,Data_ceases_on_7/23/2000.,29.64728,93.63947,3.53,,Data_ceases_on_7/23/2000.,,,,,,209
6/2/2000,04-2000-06-02,201,B2,System 4,DCS3500,Sat,R/V Longhorn,6/2/2000,,11/20/2000,,R/V Gyre,171,,,,,,,,,,,,,
6/2/2000,,,B,,DCS3500,,,6/2/2000,1:00:00,11/20/2000,4:30:00,,,4.33,Data_is_from_Buoy_B2,28.98283,94.9162,4.33,,Data_is_from_Buoy_B2,,,,,,30
6/4/2000,,,S,,Unknown,,,6/4/2000,16:00:00,7/20/2000,0:00:00,,,3.1,-,28.43642,92.81115,3.1,,-,,,,,,239
7/14/2000,40015-2000-07-14,222,D,40015,B-1539,Motorola,R/V Longhorn,7/14/2000,,11/30/2000,,missing,139,,,,,,,,,,,,,
